2
6h 46 5a 8b 83 48 43 4h a6 8a 
83 a3 4a 47 87 81 38 43 b1 a4 
3b 3a 34 a4 7a b4 75 3b 57 a7 
3a b3 7b 75 b5 2b 23 25 a5 3a 
35 a5 8a 85 38 45 a4 5a 45 a4 
3a 31 32 3h 1h 26 b6 5b 45 b4 
2b 2h 27 23 52 45 24 12 13 23 
52 45 24 12 b1 8b 38 32 82 58 
45 84 a8 5a 45 a4 2a 23 a3 2a 
62 61 21 52 45 24 62 68 28 52 
45 24 12 18 28 52 45 24 12 16 
17 26 52 45 24 32 13 18 18 17 
41 b7 54 15 71 5b 45 17 41 b1 
5b 54 14 15 41 b4 15 41 7b 54 
15 71 b1 2b 32 b3 2b 12 17 51 
45 14 51 27 52 12 51 57 17 21 
27 52 17 51 21 72 47 24 32 b3 
2b 32 b3 7b 47 b4 1b 15 41 b5 
74 17 51 7b 47 15 41 b1 7b 74 
14 17 41 b4 17 51 2b 52 12 a1 
7a 47 a4 3a 31 b1 3b 38 a3 5a 
b8 7b 47 b4 3b 53 a3 7a 47 a4 
1a 18 b8 5b 15 b1 2b 23 a2 5a 
b3 7b 47 b4 2b a2 1a 51 21 52 
5h 58 45 8h 74 57 15 12 71 52 
75 15 71 73 13 71 8h 17 51 53 
75 13 71 51 75 82 57 85 b2 58 
75 6b 57 25 28 58 75 b6 57 25 
7b 52 75 b5 4b 34 b3 1b 15 21 
b5 12 61 2b 16 21 b1 2b 42 34 
23 82 81 21 42 34 23 b2 4b 34 
b3 1b 18 b8 1b 12 61 b2 16 21 
3b 12 31 b1 3b 35 b5 1b 15 61 
b5 16 81 1b 81 b1 2b 82 b8 4b 
54 b5 1b 12 81 b2 18 21 28 18 
21 1b 21 b1 2b 42 54 25 82 81 
21 42 54 25 b2 4b 54 b5 1b 18 
b8 1b 12 61 b2 16 81 82 12 41 
3b 14 31 b1 2b 28 b8 4b 54 b5 
3b 37 23 b7 32 73 2b 37 23 b3 
2b 42 54 25 12 17 31 27 62 13 
61 21 62 6h 6h 63 83 8h 5h 45 
b6 54 3b 38 45 b8 54 3b 36 73 
45 37 43 53 54 34 35 63 b3 45 
1b 12 71 54 17 31 36 73 16 71 
45 31 63 b2 54 7b 36 73 45 37 
43 53 54 34 35 63 b7 45 1b 36 
73 13 61 b3 54 7b 16 71 74 b1 
7b 7h 72 7h 67 8h 76 47 45 75 
87 7h 87 7h 87 7h 67 68 78 67 
4h 76 47 43 54 4h 54 57 53 73 
75 37 47 64 7h 73 57 37 35 75 
73 57 73 57 37 35 75 46 34 74 
57 5h 53 43 45 34 74 67 8h 76 
47 43 64 84 35 75 47 78 37 46 
34 74 87 7h 87 7h 67 78 47 43 
54 73 57 47 34 53 45 74 73 57 
43 54 74 37 34 74 37 35 75 47 
45 75 47 43 54 73 57 47 34 53 
45 74 73 57 43 54 74 37 34 74 
37 35 75 87 4h 76 47 68 7h 57 
45 74 37 31 43 47 54 47 54 74 
75 71 47 86 35 83 63 74 87 67 
36 67 46 41 74 43 74 51 34 37 
43 37 53 13 61 76 6h 76 78 37 
48 54 73 57 47 34 37 83 68 76 
46 74 75 67 64 56 74 87 65 86 
36 43 14 31 63 76 17 3h 63 71 
47 36 43 73 67 68 36 78 57 47 
24 37 83 67 86 36 73 42 84 17 
31 63 64 76 34 73 63 46 42 62 
36 37 83 43 74 64 76 75 47 46 
54 16 71 67 45 64 74 37 65 46 
45 84 65 16 34 13 63 46 48 54 
76 57 47 34 35 73 35 63 68 16 
47 14 7h 64 86 74 57 74 57 68 
56 76 47 76 47 38 63 37 63 34 
53 63 76 43 63 46 45 84 65 86 
75 37 75 37 46 34 74 67 31 43 
41 84 31 53 31 53 76 57 37 63 
48 54 36 73 74 67 34 83 76 17 
7h 67 63 46 73 47 67 36 45 74 
75 37 15 73 17 57 51 41 54 7h 
45 34 64 56 76 47 16 38 13 48 
14 34 63 34 63 78 47 46 76 87 
34 63 34 63 78 17 65 86 35 43 
35 83 71 47 57 41 84 34 13 53 
73 75 37 75 47 2h 67 36 31 73 
61 56 61 56 37 53 63 26 48 74 
27 67 36 42 74 42 84 35 73 65 
16 65 16 56 74 17 57 67 65 76 
65 76 71 47 48 14 78 17 38 53 
54 34 53 63 46 63 46 47 34 46 
34 64 63 46 63 76 65 86 45 34 
45 34 68 26 71 27 43 54 43 54 
34 82 6h 46 63 86 45 34 76 87 
4h 64 67 56 35 63 76 46 34 31 
63 41 54 36 53 43 64 67 36 47 
14 61 26 72 13 15 35 43 74 64 
36 31 43 61 56 34 53 63 46 78 
64 4h 87 16 47 34 63 16 46 34 
35 73 78 57 38 13 73 87 43 64 
65 86 76 37 75 37 47 24 4h 74 
73 57 73 57 47 64 68 76 37 48 
74 67 36 76 75 27 82 31 63 51 
31 83 46 14 61 73 46 1h 67 34 
15 75 17 67 56 43 65 3h 74 56 
57 67 26 28 45 32 5h 74 73 43 
84 64 26 71 37 35 43 75 17 34 
71 68 43 38 17 4h 56 53 84 63 
86 46 34 37 63 51 75 51 41 36 
bh 65 14 13 56 43 3b 65 14 71 
31 68 58 4h 87 83 16 15 73 51 
61 1h 14 1h 37 38 78 2h 85 86 
56 bh 61 68 18 4b 83 87 37 7h 
78 8h bh 8b ah bh 
