3
7a 7b 87 5c b5 6b a6 25 76 2a 
32 a7 27 2a 26 28 2h 12 a1 3a 
32 b3 12 21 81 82 8b c8 12 82 
b8 21 8c 8b 81 b8 38 3b 37 3h 
5h 6h a6 12 43 73 53 5a 54 b5 
74 a3 62 47 6b 6a c6 15 74 71 
86 41 7c 74 b7 c7 27 8b 8c c8 
68 14 b6 72 7c 7b a7 b7 c7 34 
3a 63v2 83 27 a1 41 16 64 3b 3c 
3a b8 c3 6b 63 b7 41 72 a6 36 
5c 5b 5a 53 56 a3 68 c5 b3 53 
86 16 23 1a 1h 6h 1h 7h 37 31 
4c 4h 7b 7h a8 64 71 c5 32 68 
4a 4h 48 23 5c 84 b5 32 17 1b 
1h 12 13 b1 5b 71 23 73 b5 c7 
86 13 7b a7 5c b5 46 48 5a 4b 
45 42 4h ch 4h 7h 5h 3h bh ah 
6h 3h 1h 6h 3h 8h 2h 6h 3h 8h 
6h 3h 8h 2h 6h 3h 8h 2h 6h 3h 
8h 2h 6h 3h 8h 2h 6h 3h 8h 2h 
6h 3h 
